快府,石,木,皮,骨,线,1,10,4.5,20,12,15,25,150,11,80,20,0,0,0,0,0,0,0,0,1,,,,,,,0,1,1,6,100250,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,0,0,0,5,80,0,,,,,,,,
滴府,石,木,骨,线,牙,2,20,4.5,22,24,17,25,100,11,0,40,60,0,0,0,0,0,0,0,1,2,,,,,,0,1,1,6,100251,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,0,0,0,5,80,0,,,,,,,,
倔疯快府,石,木,皮,骨,线,3,15,4.5,22,17,19,17,150,11,100,0,0,0,0,0,0,0,0,0,1,20,,,,,,0,1,1,6,100252,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,0,0,0,5,80,0,,,,,,,,
阂弊府,石,木,骨,线,牙,4,10,4.5,25,23,19,33,300,-1,0,0,70,30,0,0,0,0,0,0,1,150,11,,,,,1,10,10,7,100253,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,0,0,0,5,80,0,,,,,,,,
角滚快府,石,木,皮,骨,线,5,20,4.5,22,22,24,27,300,-1,50,0,0,50,0,0,0,0,0,0,1,2,-1,-1,-1,-1,-1,1,10,10,7,100388,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,0,0,0,5,80,0,,,,,,,,
券积倔疯快府,石,木,皮,骨,线,6,25,4.5,30,24,27,24,100,11,50,0,0,50,0,0,0,0,0,0,1,20,,,,,,2,1,1,7,100252,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,0,0,0,5,80,0,,,,,,,,
陋篮判狼 档迪,,,,,,7,20,5,20,30,20,30,100,0,0,0,40,60,30,30,30,30,30,30,40,30,-1,-1,-1,-1,-1,0,5,5,7,100436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0,5,80,0,,,,,,,,
芭措 内尝府,石,木,肉,鱼,米,8,27,4.5,50,25,15,8,270,3,90,10,0,0,0,0,0,0,0,0,1,2,,,,,,0,5,0,4,100355,0,1,,300,300,,300,300,,300,300,,300,300,,300,300,,24,0,0,5,80,0,,,,,,,,
九兄弟之一,,,,,,9,20,5,20,30,20,30,100,0,0,0,40,60,70,70,70,70,70,70,1,2,60,100,80,90,110,0,5,5,7,100037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0,5,80,0,,,,,,,,
尊尼,,,,,,10,20,5,30,20,30,20,100,0,50,50,0,0,10,10,10,10,10,10,1,2,40,541,30,-1,-1,0,5,5,7,100436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0,5,80,0,,,,,,,,
何厚,肉,鱼,串,卵,盐,11,15,4.5,42,20,16,12,240,5,80,20,0,0,0,0,0,0,0,0,1,,,,,,,0,2,0,5,100254,1,0,,600,600,,600,600,,600,600,,600,600,,600,600,,1,0,0,5,80,0,,,,,,,,
榜靛何厚,肉,鱼,串,卵,盐,12,25,4.5,31,20,32,12,270,-1,0,0,30,70,0,0,0,0,0,0,1,2,3,40,,,,1,10,10,7,100255,1,0,,600,600,,600,600,,600,600,,600,600,,600,600,,1,0,0,5,80,0,,,,,,,,
何捞,肉,鱼,串,卵,盐,13,22,4.5,44,21,16,13,240,5,60,40,0,0,0,0,0,0,0,0,1,,,,,,,0,2,0,5,100256,1,0,,600,600,,600,600,,600,600,,600,600,,600,600,,1,0,0,5,80,0,,,,,,,,
何捞厚,肉,鱼,串,卵,盐,14,16,4.5,32,26,15,18,240,5,0,40,60,0,0,0,0,0,0,0,1,3,,,,,,0,2,0,5,100257,1,0,,600,600,,600,600,,600,600,,600,600,,600,600,,1,0,0,5,80,0,,,,,,,,
倔疯何捞厚,肉,鱼,串,卵,盐,15,23,4.5,30,28,14,20,240,5,100,0,0,0,0,0,0,0,0,0,1,3,,,,,,1,2,0,5,100258,1,0,,600,600,,600,600,,600,600,,600,600,,600,600,,1,0,0,5,80,0,,,,,,,,
肺捻胶,砂糖,豆,蜥蜴,,,16,29,4.5,25,48,19,26,150,11,0,0,90,10,0,0,0,0,0,0,1,2,152,12,41,501,312,2,1,1,7,101574,0,1,,700,700,,700,700,,700,700,,,,,,,,28,0,0,5,80,0,,,,,,,,
飘捻肺,石,米,鱼,,,17,35,4.5,26,49,26,29,350,0,0,20,80,0,0,0,0,0,0,0,1,2,309,151,543,52,,0,5,0,7,101542,0,1,,200,200,,200,200,,200,200,,,,,,,,,0,0,5,80,0,,,,,,,,
飘扼肺,石,米,鱼,,,18,40,4.5,28,42,25,23,350,0,0,100,0,0,0,0,0,0,0,0,1,2,310,546,40,30,,0,5,0,7,101543,0,1,,200,200,,200,200,,200,200,,,,,,,,,0,0,5,80,0,,,,,,,,
官啊飘,石,木,皮,骨,牙,19,21,4.5,25,46,20,29,150,11,80,0,0,20,0,0,0,0,0,0,1,2,507,577,545,51,,0,1,1,5,101533,0,1,,700,700,,700,700,,700,700,,700,700,,700,700,,,0,0,5,80,0,,,,,,,,
官啊风,石,木,皮,骨,牙,25,23,4.5,29,32,23,23,150,11,0,100,0,0,0,0,0,0,0,0,1,2,608,544,210,504,,0,1,1,5,101532,0,1,,700,700,,700,700,,700,700,,700,700,,700,700,,,0,0,5,80,0,,,,,,,,
部固,肉,鱼,米,卵,饮用水,21,22,4.5,22,23,19,23,210,7,0,0,60,40,0,0,0,0,0,0,1,2,,,,,,0,0,1,5,100259,1,0,,500,500,,500,500,,500,500,,500,500,,500,500,,6,0,0,5,80,0,,,,,,,,
部厚,肉,鱼,米,卵,饮用水,22,20,4.5,21,22,18,28,210,7,50,0,0,50,20,0,0,0,0,0,1,60,,,,,,0,0,1,5,130131,1,0,,500,500,,500,500,,500,500,,500,500,,500,500,,6,0,0,5,80,0,,,,,,,,
